gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
AAMP,0.16040938971068838,0.3938053121541099,93,0.001,-1.5537599767376133,0.1207242689926343,-0.7351781966242741,0.4622309758859464,-0.5478408068537539,0.5478408068537539,0.05089820359281437,0.9219712525667351,0.4106892015512155
AAMP_negation,0.005428185755951486,0.029132001849235926,0,0.001,1.5537599767376133,0.1207242689926343,0.7351781966242741,0.4622309758859464,-0.5478568330489617,0.5478568330489617,0.0,1.0,0.0399068518482684
ABCA1,0.01940366029236887,0.082395155792211,31,0.001,-3.48594585632805,0.000507483837621471,-0.649649416813778,0.5159187047693239,-2.362622854782471,2.362622854782471,0.005988023952095809,0.9702258726899384,0.09531573292158085
ABCA1_negation,0.002848931762823119,0.016935061169689326,0,0.001,3.48594585632805,0.000507483837621471,0.649649416813778,0.5159187047693239,-2.363011035932586,2.363011035932586,0.0,1.0,0.02971063363103391
ABCB1,0.40317831289114053,0.6924847991122054,124,0.001,-1.3504965156925293,0.1773368661830335,-0.8219659869324712,0.41109625528551363,-0.4181201171196139,0.4181201171196139,0.0718562874251497,0.8973305954825462,0.6963534292748434
ABCB1_negation,0.007547950730275551,0.038273926727228305,0,0.001,1.3504965156925293,0.1773368661830335,0.8219659869324712,0.41109625528551363,-0.4181284783232207,0.4181284783232207,0.0,1.0,0.049279733983555764
ABCG1,0.005362974056229818,0.028887023160851788,18,0.001,-0.986685743424151,0.3241159810581353,-0.1752542612799959,0.8608798496834291,-0.7777874901283811,0.7777874901283811,0.008982035928143712,0.9845995893223819,0.039631586653607644
ABCG1_negation,0.0014320537110121953,0.009413120696652087,0,0.001,0.986685743424151,0.3241159810581353,0.1752542612799959,0.8608798496834291,-0.7779213722292396,0.7779213722292396,0.0,1.0,0.02958578686211787
ABCG2,0.0024116369161319585,0.01470238744418119,1,0.001,-1.0,0.3175591291810704,-0.02803396708214494,0.9776350599721979,-10.005195108330609,10.005195108330609,0.0,0.9989733059548255,0.02958578686211787
ABCG2_negation,0.0020343146378267725,0.012805201673503037,0,0.001,1.0,0.3175591291810704,0.02803396708214494,0.9776350599721979,-10.002384737502245,10.002384737502245,0.0,1.0,0.02958578686211787
