"","x"
"1","DDR1"
"2","CX3CL1"
"3","PLAT"
"4","LAMP1"
"5","KIT"
"6","LPL"
"7","SDC1"
"8","PEBP1"
"9","SLC2A4"
"10","VCAM1"
"11","FGG"
"12","CD24"
"13","SCARB1"
"14","HSPA5"
"15","CD9"
"16","CD34"
"17","ADAM9"
"18","CD83"
"19","HMGB1"
"20","USP14"
"21","IL2RG"
"22","CD81"
"23","MIF"
"24","LAMP2"
"25","MCAM"
"26","HSP90AB1"
"27","M6PR"
"28","CD82"
"29","BGN"
"30","GABARAPL1"
"31","CRYAB"
"32","AIMP1"
"33","PDIA4"
"34","EPCAM"
"35","SFRP1"
"36","PLA2G1B"
"37","AMBP"
"38","SERPINE2"
"39","BACE2"
"40","PTPRU"
"41","APOH"
"42","DPP4"
"43","PLG"
"44","ATP5B"
"45","ADAM8"
"46","CLPTM1"
"47","LY6D"
"48","TRPV2"
"49","HSPA2"
"50","LPAR1"
"51","PDGFRB"
"52","TMEM123"
"53","CD14"
"54","ENG"
"55","TNFRSF1A"
"56","CAV2"
"57","F3"
"58","TGFB3"
"59","RAMP1"
"60","SERPINF2"
"61","FLOT2"
"62","TRPV4"
"63","IL2RB"
"64","CXCL12"
"65","SLC11A2"
"66","CD28"
"67","CD276"
"68","CALR"
"69","CD79B"
"70","SDC4"
"71","PVRL2"
"72","TJP1"
"73","ITGA2B"
"74","APOA4"
"75","PLA2G5"
"76","SYNJ2BP"
"77","FCGR1A"
"78","GPR97"
"79","VLDLR"
"80","GHR"
"81","ADA"
"82","B4GALT1"
"83","EPHB6"
"84","NRP1"
"85","TRIP10"
"86","CA4"
"87","TLR4"
"88","STX2"
"89","IL12RB1"
"90","RAMP2"
"91","THSD1"
"92","IL15"
"93","FCER1G"
"94","HBEGF"
"95","CD5"
"96","GPR124"
"97","ITGA7"
"98","CD97"
"99","TSPAN32"
"100","CAV3"
"101","SCNN1B"
"102","HSPA9"
"103","FURIN"
"104","TNFRSF12A"
"105","GPR162"
"106","ASTN1"
"107","NOTCH1"
"108","CXCL9"
"109","CAPN5"
"110","TIRAP"
"111","PDGFA"
"112","LPAR3"
"113","ITGB7"
"114","CD55"
"115","CD2"
"116","TEK"
"117","FASLG"
"118","SERPINA5"
"119","CHRNA1"
"120","PAM"
"121","CXCL10"
"122","CORIN"
"123","MPP3"
"124","SCNN1G"
"125","FGFBP1"
"126","HCST"
"127","PDGFC"
"128","ITGAX"
"129","TLR2"
"130","ACVR2B"
"131","CD163"
"132","CD3G"
"133","CD37"
"134","ICOSLG"
"135","TNFRSF11A"
"136","CD96"
"137","ENPP1"
"138","FZD4"
"139","TNFRSF13C"
"140","PDPN"
"141","CTLA4"
"142","STAB2"
"143","SPAM1"
"144","SELL"
"145","C3AR1"
"146","IL1R2"
"147","FLT3"
"148","ISG20"
"149","LGALS1"
"150","CD93"
"151","TNF"
"152","CCR1"
"153","BMPR2"
"154","CD4"
"155","PROM1"
"156","WNT6"
"157","CD7"
"158","CD274"
"159","RTN4R"
"160","CD22"
"161","GAB2"
"162","TREML2"
"163","P2RX7"
"164","CSF1R"
"165","TMX3"
"166","RC3H2"
"167","PSEN1"
"168","TNFRSF4"
"169","CD86"
"170","DCBLD2"
"171","EPHA5"
"172","SELP"
"173","LPAR2"
"174","CFTR"
"175","GPR84"
"176","APP"
"177","HSPA8"
"178","TGFB1"
"179","ARNT2"
"180","KCNE1"
"181","IL17RB"
"182","IL2RA"
"183","CLEC7A"
"184","HPN"
"185","CD247"
"186","CHRNB2"
"187","IL13"
"188","GDI2"
"189","SEMA4D"
"190","NTRK2"
"191","FGFR2"
"192","WNT7B"
"193","IL17RA"
"194","VEGFA"
"195","MFGE8"
"196","TIMP2"
"197","IL4R"
"198","MRC2"
"199","GPC4"
"200","TRPC1"
"201","GPR56"
"202","ITGA4"
"203","PTPN11"
"204","ITGAV"
"205","CHRNA4"
"206","CIITA"
"207","TREM2"
"208","PTPRT"
"209","IL6ST"
"210","PECAM1"
"211","IL18RAP"
"212","KLRAP1"
"213","HLA-G"
"214","CLEC5A"
"215","ANPEP"
"216","HHIP"
"217","CDON"
"218","KCNJ3"
"219","MS4A2"
"220","ITGB3"
"221","CD46"
"222","CEACAM21"
"223","GRIN2A"
"224","TRPM8"
"225","IL5RA"
"226","IL12RB2"
"227","TMC1"
"228","SLC6A2"
"229","CYSLTR2"
"230","NLGN1"
"231","CCR4"
"232","IL17A"
"233","GPR98"
"234","STRC"
"235","SELE"
"236","TNFSF4"
"237","BMP10"
"238","FCER1A"
"239","KLRC3"
"240","EFNA5"
"241","LDLR"
"242","BACE1"
